Id;Function;threads;gpus;P;Q;mtxfmt;nb;transA;transB;m;n;k;lda;ldb;ldc;alpha;beta;seedA;seedB;seedC;tsub;time;gflops
0;dgemm;2;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.599413e+01;6.874470e+01
1;dgemm;2;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.599581e+01;6.873747e+01
2;dgemm;2;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;1.599251e+01;6.875167e+01
3;dgemm;2;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;1.599395e+01;6.874549e+01
0;dgemm;2;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.570499e+01;7.001032e+01
1;dgemm;2;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.570666e+01;7.000290e+01
2;dgemm;2;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;1.570664e+01;7.000297e+01
3;dgemm;2;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;1.570825e+01;6.999582e+01
0;dgemm;2;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;1.574381e+01;6.983770e+01
1;dgemm;2;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;1.574364e+01;6.983848e+01
2;dgemm;2;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;1.574190e+01;6.984616e+01
3;dgemm;2;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;1.574729e+01;6.982226e+01
0;dgemm;2;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.269865e+01;3.362559e+01
1;dgemm;2;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.269960e+01;3.362462e+01
2;dgemm;2;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.270081e+01;3.362338e+01
3;dgemm;2;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.269532e+01;3.362902e+01
0;dgemm;4;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;8.442334e+00;1.302379e+02
1;dgemm;4;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;8.467688e+00;1.298479e+02
2;dgemm;4;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;8.446445e+00;1.301745e+02
3;dgemm;4;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;8.414505e+00;1.306686e+02
0;dgemm;4;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;8.545682e+00;1.286628e+02
1;dgemm;4;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;8.546509e+00;1.286504e+02
2;dgemm;4;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;8.561355e+00;1.284273e+02
3;dgemm;4;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;8.555427e+00;1.285163e+02
0;dgemm;4;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;8.181332e+00;1.343927e+02
1;dgemm;4;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;8.179559e+00;1.344219e+02
2;dgemm;4;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;8.184034e+00;1.343484e+02
3;dgemm;4;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;8.175744e+00;1.344846e+02
0;dgemm;4;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;7.914720e+00;1.389198e+02
1;dgemm;4;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;7.907264e+00;1.390508e+02
2;dgemm;4;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;7.908250e+00;1.390335e+02
3;dgemm;4;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;7.901470e+00;1.391528e+02
0;dgemm;4;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;7.942571e+00;1.384327e+02
1;dgemm;4;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;7.951805e+00;1.382719e+02
2;dgemm;4;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;7.971539e+00;1.379296e+02
3;dgemm;4;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;7.930776e+00;1.386386e+02
0;dgemm;4;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.265242e+01;3.367320e+01
1;dgemm;4;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.265094e+01;3.367473e+01
2;dgemm;4;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.265096e+01;3.367471e+01
3;dgemm;4;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.265084e+01;3.367484e+01
0;dgemm;8;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.340844e+00;2.532944e+02
1;dgemm;8;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;4.345674e+00;2.530129e+02
2;dgemm;8;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;4.299740e+00;2.557159e+02
3;dgemm;8;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;4.330215e+00;2.539162e+02
0;dgemm;8;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.301461e+00;2.556135e+02
1;dgemm;8;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;4.312449e+00;2.549622e+02
2;dgemm;8;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;4.314798e+00;2.548234e+02
3;dgemm;8;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;4.308119e+00;2.552185e+02
0;dgemm;8;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;4.137237e+00;2.657599e+02
1;dgemm;8;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;4.132809e+00;2.660447e+02
2;dgemm;8;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;4.132968e+00;2.660344e+02
3;dgemm;8;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;4.141421e+00;2.654914e+02
0;dgemm;8;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.994905e+00;2.752285e+02
1;dgemm;8;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.994235e+00;2.752747e+02
2;dgemm;8;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.993887e+00;2.752986e+02
3;dgemm;8;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.995475e+00;2.751892e+02
0;dgemm;8;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;7.902080e+00;1.391420e+02
1;dgemm;8;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;7.912694e+00;1.389554e+02
2;dgemm;8;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;8.014888e+00;1.371837e+02
3;dgemm;8;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;8.060453e+00;1.364082e+02
0;dgemm;8;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;3.272040e+01;3.360325e+01
1;dgemm;8;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;3.273896e+01;3.358420e+01
2;dgemm;8;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;3.274080e+01;3.358230e+01
3;dgemm;8;0;1;1;0;8192;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;3.276241e+01;3.356016e+01
0;dgemm;16;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.199527e+00;4.998854e+02
1;dgemm;16;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.201033e+00;4.995434e+02
2;dgemm;16;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.215486e+00;4.962846e+02
3;dgemm;16;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.199297e+00;4.999377e+02
0;dgemm;16;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.166368e+00;5.075369e+02
1;dgemm;16;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.165825e+00;5.076641e+02
2;dgemm;16;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.170804e+00;5.064998e+02
3;dgemm;16;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.164471e+00;5.079816e+02
0;dgemm;16;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.069982e+00;5.311696e+02
1;dgemm;16;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.070450e+00;5.310496e+02
2;dgemm;16;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.072205e+00;5.305997e+02
3;dgemm;16;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.070855e+00;5.309457e+02
0;dgemm;16;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.023134e+00;5.434695e+02
1;dgemm;16;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.023722e+00;5.433115e+02
2;dgemm;16;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.024848e+00;5.430093e+02
3;dgemm;16;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.025642e+00;5.427967e+02
0;dgemm;16;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;7.897910e+00;1.392155e+02
1;dgemm;16;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;7.897970e+00;1.392145e+02
2;dgemm;16;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;7.895256e+00;1.392623e+02
3;dgemm;16;0;1;1;0;4096;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;7.896859e+00;1.392340e+02
0;dgemm;16;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.202717e+00;4.991616e+02
1;dgemm;16;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.199993e+00;4.997797e+02
2;dgemm;16;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.207504e+00;4.980791e+02
3;dgemm;16;0;1;1;0;256;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.199690e+00;4.998485e+02
0;dgemm;16;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.168561e+00;5.070236e+02
1;dgemm;16;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.164426e+00;5.079923e+02
2;dgemm;16;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.172033e+00;5.062131e+02
3;dgemm;16;0;1;1;0;512;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.167157e+00;5.073520e+02
0;dgemm;16;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.081063e+00;5.283414e+02
1;dgemm;16;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.084900e+00;5.273690e+02
2;dgemm;16;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;4.141058e-01;-3.017109e-01;1540383426;304089172;1303455736;0.000000e+00;2.085671e+00;5.271741e+02
3;dgemm;16;0;1;1;0;1024;111;111;8192;8192;8192;8192;8192;8192;-3.054879e-01;-1.757242e-01;294702567;1726956429;336465782;0.000000e+00;2.084983e+00;5.273480e+02
0;dgemm;16;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;4.892778e-01;-1.846424e-01;1649760492;596516649;1189641421;0.000000e+00;2.010170e+00;5.469743e+02
1;dgemm;16;0;1;1;0;2048;111;111;8192;8192;8192;8192;8192;8192;-2.410269e-01;4.000452e-01;783368690;1102520059;2044897763;0.000000e+00;2.010668e+00;5.468389e+02
