Id;threads;Q;gpus;nb;m;n;k;time;gflops
0;1;2;0;500;14000;14000;14000;4.990869e+01;1.099569e+02
1;1;2;0;500;14000;14000;14000;4.765133e+01;1.151658e+02
0;1;2;0;560;14000;14000;14000;3.714938e+01;1.477226e+02
1;1;2;0;560;14000;14000;14000;3.751577e+01;1.462799e+02
0;1;2;0;700;14000;14000;14000;2.585248e+01;2.122738e+02
1;1;2;0;700;14000;14000;14000;2.744455e+01;1.999597e+02
0;1;2;0;875;14000;14000;14000;1.953511e+01;2.809201e+02
1;1;2;0;875;14000;14000;14000;1.769694e+01;3.100990e+02
0;1;2;0;1000;14000;14000;14000;1.704888e+01;3.218864e+02
1;1;2;0;1000;14000;14000;14000;1.596185e+01;3.438075e+02
0;1;2;0;1400;14000;14000;14000;1.194423e+01;4.594524e+02
1;1;2;0;1400;14000;14000;14000;1.116741e+01;4.914125e+02
0;1;2;0;1750;14000;14000;14000;9.760295e+00;5.622580e+02
1;1;2;0;1750;14000;14000;14000;9.576186e+00;5.730678e+02
0;1;2;0;2000;14000;14000;14000;9.427300e+00;5.821183e+02
1;1;2;0;2000;14000;14000;14000;9.173452e+00;5.982267e+02
0;1;2;0;2800;14000;14000;14000;8.643609e+00;6.348973e+02
1;1;2;0;2800;14000;14000;14000;8.619447e+00;6.366770e+02
0;1;2;0;3500;14000;14000;14000;7.492569e+00;7.324329e+02
1;1;2;0;3500;14000;14000;14000;7.305810e+00;7.511561e+02
0;1;2;0;7000;14000;14000;14000;1.401020e+01;3.917005e+02
1;1;2;0;7000;14000;14000;14000;1.390092e+01;3.947798e+02
