Id;threads;Q;gpus;nb;m;n;k;time;gflops
1;16;4;0;4096;8192;8192;8192;1.222871e+01;8.990679e+01
2;16;4;0;4096;8192;8192;8192;1.217799e+01;9.028129e+01
3;16;4;0;4096;8192;8192;8192;1.224781e+01;8.976664e+01
0;32;2;0;256;8192;8192;8192;4.990262e+00;2.203180e+02
1;32;2;0;256;8192;8192;8192;5.176594e+00;2.123876e+02
2;32;2;0;256;8192;8192;8192;5.296067e+00;2.075964e+02
3;32;2;0;256;8192;8192;8192;4.961441e+00;2.215978e+02
0;32;2;0;512;8192;8192;8192;2.828862e+00;3.886526e+02
1;32;2;0;512;8192;8192;8192;1.508879e+00;7.286499e+02
2;32;2;0;512;8192;8192;8192;1.861564e+00;5.906027e+02
3;32;2;0;512;8192;8192;8192;1.363274e+00;8.064736e+02
0;32;2;0;1024;8192;8192;8192;1.709388e+00;6.431802e+02
1;32;2;0;1024;8192;8192;8192;1.575066e+00;6.980308e+02
2;32;2;0;1024;8192;8192;8192;1.577885e+00;6.967836e+02
3;32;2;0;1024;8192;8192;8192;1.571958e+00;6.994110e+02
0;32;2;0;2048;8192;8192;8192;4.366623e+00;2.517837e+02
1;32;2;0;2048;8192;8192;8192;4.322485e+00;2.543547e+02
2;32;2;0;2048;8192;8192;8192;4.387066e+00;2.506104e+02
3;32;2;0;2048;8192;8192;8192;4.305896e+00;2.553346e+02
0;32;2;0;4096;8192;8192;8192;1.223534e+01;8.985807e+01
1;32;2;0;4096;8192;8192;8192;1.212266e+01;9.069337e+01
2;32;2;0;4096;8192;8192;8192;1.229454e+01;8.942541e+01
3;32;2;0;4096;8192;8192;8192;1.224091e+01;8.981725e+01
